ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Minutes
"2,535",Location 383 - Location 10,383,10,1,201.876565987315130
"2,542",Location 384 - Location 10,384,10,1,258.103199973600740
"2,549",Location 385 - Location 10,385,10,1,312.006924449360610
"2,556",Location 386 - Location 10,386,10,1,375.568571585358650
"2,563",Location 387 - Location 10,387,10,1,434.358470955336540
"2,570",Location 388 - Location 10,388,10,1,495.900333424383460
"2,577",Location 389 - Location 10,389,10,1,558.932755197462140
"2,584",Location 390 - Location 10,390,10,1,622.391714508894320
"2,591",Location 391 - Location 10,391,10,1,681.100966759655190
"2,598",Location 392 - Location 10,392,10,1,264.016937962819550
"2,605",Location 394 - Location 10,394,10,1,392.851636759568860
"2,612",Location 395 - Location 10,395,10,1,381.995083471288470
"2,619",Location 396 - Location 10,396,10,1,371.862004204554520
"2,626",Location 397 - Location 10,397,10,1,361.264635294532410
"2,633",Location 398 - Location 3,398,3,1,347.274741734643950
"2,640",Location 399 - Location 3,399,3,1,342.136801176621650
"2,647",Location 400 - Location 3,400,3,1,351.953012690812560
"2,654",Location 401 - Location 3,401,3,1,361.692062835829060
"2,661",Location 402 - Location 3,402,3,1,371.523032152225880
"2,668",Location 403 - Location 3,403,3,1,381.530468206249910
"2,675",Location 404 - Location 3,404,3,1,391.346863175190380
"2,682",Location 405 - Location 3,405,3,1,401.252749172944560
"2,689",Location 406 - Location 3,406,3,1,411.093286200474610
"2,696",Location 407 - Location 3,407,3,1,420.883760655704520
"2,703",Location 408 - Location 3,408,3,1,430.666563417998820
"2,710",Location 409 - Location 3,409,3,1,440.434118433132770
"2,717",Location 410 - Location 3,410,3,1,450.315775087306120
"2,724",Location 411 - Location 3,411,3,1,460.089490614769550
"2,731",Location 412 - Location 3,412,3,1,470.001431358833430
"2,738",Location 413 - Location 3,413,3,1,479.775562792158840
"2,745",Location 414 - Location 3,414,3,1,489.516301851619460
"2,752",Location 415 - Location 3,415,3,1,499.387786192750980
"2,759",Location 416 - Location 3,416,3,1,489.532533660537240
"2,766",Location 417 - Location 3,417,3,1,479.679741348626810
"2,773",Location 418 - Location 3,418,3,1,469.867254420784090
"2,780",Location 419 - Location 3,419,3,1,459.652810108523280
"2,787",Location 420 - Location 3,420,3,1,449.866978486977300
"2,794",Location 421 - Location 3,421,3,1,439.963916480946010
"2,801",Location 422 - Location 3,422,3,1,430.067106024079690
"2,808",Location 423 - Location 3,423,3,1,420.216427028334860
"2,815",Location 424 - Location 10,424,10,1,321.506675270187260
"2,822",Location 425 - Location 10,425,10,1,331.712957830257040
"2,829",Location 426 - Location 10,426,10,1,342.771177358608900
"2,836",Location 427 - Location 10,427,10,1,353.099924909783970
"2,843",Location 428 - Location 10,428,10,1,363.039808971052200
"2,850",Location 429 - Location 10,429,10,1,373.148317872147740
"2,857",Location 430 - Location 3,430,3,1,369.458283910805110
"2,864",Location 431 - Location 3,431,3,1,358.903309298221250
"2,871",Location 432 - Location 3,432,3,1,348.911807807650690
"2,878",Location 433 - Location 10,433,10,1,467.913475858658160
"2,885",Location 434 - Location 10,434,10,1,501.851492326169990
"2,892",Location 435 - Location 10,435,10,1,441.693938037806840
"2,899",Location 436 - Location 10,436,10,1,381.683849962855620
"2,906",Location 437 - Location 10,437,10,1,316.460687595087390
"2,913",Location 438 - Location 3,438,3,1,357.824480837107500
"2,920",Location 439 - Location 3,439,3,1,107.512272590185670
"2,927",Location 440 - Location 3,440,3,1,136.518643336923670
